"","crop","country","ac1","cv","Ha","d","dip.p","pollination_syndrome","sp_latin"
"1","Apple","China, mainland",-0.0332638704649192,0.0572234847088819,1384546.32758621,0.0410552009722102,0.689723613971399,"Insect","Malus_domestica"
"2","Apple","United States of America",0.00474404495017912,0.0683067017674082,164440.275862069,0.052531893997506,0.262051615315023,"Insect","Malus_domestica"
"3","Apple","France",-0.376212751648319,0.155798549630535,69187,0.0295917146408187,0.987986684337684,"Insect","Malus_domestica"
"4","Apple","Italy",-0.1733905889499,0.0804590856231745,72187.2931034483,0.0483898018565854,0.391273952771136,"Insect","Malus_domestica"
"5","Apple","Turkey",0.0945490995838154,0.0951020594608329,117766.379310345,0.0368128337478203,0.847586087276606,"Insect","Malus_domestica"
"6","Apple","Germany",-0.329215323644729,0.180811210084097,49863.9411764706,0.0523865307286693,0.687886479807735,"Insect","Malus_domestica"
"7","Apple","Russian Federation",-0.123321435417328,0.119603712395428,327086.407407407,0.048456533327936,0.918258054458335,"Insect","Malus_domestica"
"8","Apple","Poland",-0.355465780282924,0.211613827804499,154616.264705882,0.061591205758017,0.392329746631633,"Insect","Malus_domestica"
"9","Apple","Iran (Islamic Republic of)",0.334605845785479,0.124809379714981,112980.034482759,0.0295950223934222,0.987962397040301,"Insect","Malus_domestica"
"10","Apple","India",-0.0335249088199686,0.128473273437645,176320.172413793,0.0253017762787771,0.994558487105289,"Insect","Malus_domestica"
"11","Apricot","Turkey",-0.242054337540367,0.252426304409962,68433.3103448276,0.0277836061115735,0.99174122533187,"Insect","Prunus_armeniaca"
"12","Apricot","Uzbekistan",-0.1862383865833,0.0645825253075668,29340.3333333333,0.0735522094696211,0.272960085707732,"Insect","Prunus_armeniaca"
"13","Apricot","Iran (Islamic Republic of)",0.239119034773363,0.157144907264514,26838.7931034483,0.0368378867268386,0.84678137235136,"Insect","Prunus_armeniaca"
"14","Apricot","Italy",-0.0560749600397744,0.146752849995688,15011.5862068966,0.0294427543016097,0.98908043120762,"Insect","Prunus_armeniaca"
"15","Apricot","Spain",-0.234080630852369,0.200057131441206,19988.6896551724,0.031813158980225,0.964841154345424,"Insect","Prunus_armeniaca"
"16","Apricot","France",-0.015703774405871,0.628509688515302,13217.7931034483,0.0371981497208115,0.835209534604932,"Insect","Prunus_armeniaca"
"17","Apricot","United States of America",-0.140145746407671,0.199505182938402,9097.48275862069,0.0346753643925664,0.911197884607289,"Insect","Prunus_armeniaca"
"18","Apricot","Pakistan",0.0303628862503447,0.125748940894112,11667.9827586207,0.0285919019091911,0.990823684240958,"Insect","Prunus_armeniaca"
"19","Apricot","Algeria",-0.180109112627291,0.190058749399216,16406.4827586207,0.0293005376972294,0.990019272717438,"Insect","Prunus_armeniaca"
"20","Avocado","Mexico",0.0441498537288394,0.0430925967602447,75855.4827586207,0.0307171149649668,0.979496287195869,"Insect","Persea_americana"
"21","Avocado","Dominican Republic",0.0262904221542588,0.202124943640491,8487.17647058824,0.0351625099244464,0.991792877172178,"Insect","Persea_americana"
"22","Avocado","United States of America",-0.320870498325738,0.224375058340856,23224.5689655172,0.0374209081901673,0.828054414853105,"Insect","Persea_americana"
"23","Avocado","Brazil",0.32917363922264,0.0939929710621435,14187.5344827586,0.0268968964753195,0.992747778291033,"Insect","Persea_americana"
"24","Avocado","Indonesia",0.0970784806346677,0.111119013175545,15269.2068965517,0.0329123976642404,0.950143305787948,"Insect","Persea_americana"
"25","Avocado","Peru",0.296782973309469,0.0669755423912981,11826.9137931034,0.034048113822603,0.925087833312815,"Insect","Persea_americana"
"26","Avocado","Colombia",-0.116924304291689,0.0845210486603748,10681.9655172414,0.0444596574903047,0.545724803646595,"Insect","Persea_americana"
"27","Avocado","China, mainland",-0.238657324757901,0.0725027386354267,11427.3333333333,0.0463807618350523,0.950255959004201,"Insect","Persea_americana"
"28","Avocado","Chile",-0.362710672317693,0.134764823601988,14394.3103448276,0.0342939790371677,0.919643350067505,"Insect","Persea_americana"
"29","Blueberry","United States of America",0.134637309244963,0.116843363622052,17942.3275862069,0.0416171607984421,0.665826240889568,"Insect","Vaccinium_corymbosum"
"30","Blueberry","Canada",-0.24411125485175,0.121099769759525,17305.5862068966,0.0343045078753831,0.91941019759265,"Insect","Vaccinium_corymbosum"
"31","Blueberry","France",-0.00249201133534663,0.0862333643131979,2396.93103448276,0.0366277664811917,0.992662016968676,"Insect","Vaccinium_corymbosum"
"32","Blueberry","Spain",-0.133419859576063,0.0134500895755088,871,0.0539107843522853,0.866212497743369,"Insect","Vaccinium_corymbosum"
"33","Blueberry","Poland",-0.235850312223018,0.154359293903005,2745.79310344828,0.0523590265451817,0.801999827748025,"Insect","Vaccinium_corymbosum"
"34","Blueberry","Mexico",-0.0999474387015081,0.234366805550708,706.692307692308,0.0493531384628969,0.916765074399432,"Insect","Vaccinium_corymbosum"
"35","Blueberry","Netherlands",-0.196251683095017,0.0489810102509094,653.032258064516,0.0546774124794811,0.687135240249525,"Insect","Vaccinium_corymbosum"
"36","Blueberry","Lithuania",-0.172666573068907,0.268731181037202,3179.59259259259,0.0515130590478634,0.85827231495503,"Insect","Vaccinium_corymbosum"
"37","Brazil nut","Peru",0.411723115909066,0.13297112293662,5240.41379310345,0.0361150295373538,0.869999927269564,"Insect","Bertholletia_excelsa"
"38","Carob","Spain",0.0883103998551586,0.117587543789919,67924.6379310345,0.0352156013326691,0.898890036504469,"Insect","Ceratonia_siliqua"
